Pair,Date,M1_Additions,M2_Additions,M1_deletions,M2_deletions,Member_1,Member_2,Total
18,2020-06-08,0.0,3.0,0.0,4.0,0.0,7.0,7.0
18,2020-06-06,0.0,69.0,0.0,7.0,0.0,76.0,76.0
18,2020-06-01,0.0,74.0,0.0,49.0,0.0,123.0,123.0
20,2020-05-25,235.0,0.0,198.0,0.0,433.0,0.0,433.0
20,2020-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-05-18,37.0,0.0,0.0,0.0,37.0,0.0,37.0
20,2020-05-19,4.0,0.0,2.0,0.0,6.0,0.0,6.0
20,2020-05-21,183.0,0.0,16.0,0.0,199.0,0.0,199.0
20,2020-05-22,0.0,0.0,276.0,0.0,276.0,0.0,276.0
20,2020-05-23,396.0,0.0,184.0,0.0,580.0,0.0,580.0
20,2020-06-01,22.0,0.0,2.0,0.0,24.0,0.0,24.0
20,2020-06-10,0.0,8.0,0.0,8.0,0.0,16.0,16.0
21,2020-06-08,0.0,43.0,0.0,9.0,0.0,52.0,52.0
21,2020-05-22,407.0,0.0,0.0,0.0,407.0,0.0,407.0
21,2020-05-24,0.0,5.0,0.0,1.0,0.0,6.0,6.0
21,2020-05-25,0.0,77.0,0.0,1.0,0.0,78.0,78.0
21,2020-05-30,79.0,66.0,1.0,45.0,80.0,111.0,191.0
21,2020-06-01,0.0,76.0,0.0,34.0,0.0,110.0,110.0
21,2020-06-03,73.0,0.0,21.0,0.0,94.0,0.0,94.0
21,2020-06-04,19.0,0.0,0.0,0.0,19.0,0.0,19.0
21,2020-06-09,47.0,40.0,53.0,357.0,100.0,397.0,497.0
22,2020-05-26,39.0,0.0,17.0,0.0,56.0,0.0,56.0
22,2020-05-25,27.0,44.0,11.0,8.0,38.0,52.0,90.0
22,2020-05-24,46.0,0.0,6.0,0.0,52.0,0.0,52.0
22,2020-05-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-05-20,55.0,29.0,4.0,3.0,59.0,32.0,91.0
22,2020-06-04,0.0,43.0,0.0,2.0,0.0,45.0,45.0
22,2020-05-23,30.0,0.0,18.0,0.0,48.0,0.0,48.0
22,2020-06-10,65.0,33.0,19.0,21.0,84.0,54.0,138.0
23,2020-06-10,6.0,0.0,8.0,0.0,14.0,0.0,14.0
23,2020-06-09,39515.0,39515.0,4.0,4.0,39519.0,39519.0,79038.0
23,2020-06-08,30.0,0.0,11.0,0.0,41.0,0.0,41.0
23,2020-06-14,0.0,17351.0,0.0,23.0,0.0,17374.0,17374.0
23,2020-06-07,74.0,0.0,4.0,0.0,78.0,0.0,78.0
23,2020-05-25,20.0,1.0,3.0,1.0,23.0,2.0,25.0
23,2020-06-02,18.0,30.0,4.0,1.0,22.0,31.0,53.0
23,2020-05-26,33.0,33.0,27.0,27.0,60.0,60.0,120.0
23,2020-05-24,81686.0,80890.0,0.0,0.0,81686.0,80890.0,162576.0
23,2020-06-04,42.0,43.0,9.0,34.0,51.0,77.0,128.0
24,2020-05-25,253.0,0.0,0.0,0.0,253.0,0.0,253.0
24,2020-05-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-06-04,106.0,0.0,52.0,2.0,158.0,2.0,160.0
24,2020-06-11,110.0,75.0,98.0,92.0,208.0,167.0,375.0
24,2020-06-03,45.0,27.0,27.0,17.0,72.0,44.0,116.0
25,2020-05-18,3.0,374.0,3.0,0.0,6.0,374.0,380.0
25,2020-05-29,16.0,0.0,264.0,0.0,280.0,0.0,280.0
25,2020-06-01,0.0,56.0,0.0,22.0,0.0,78.0,78.0
25,2020-06-03,28.0,0.0,29.0,0.0,57.0,0.0,57.0
25,2020-06-08,49.0,0.0,36.0,0.0,85.0,0.0,85.0
25,2020-06-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-05-27,0.0,38.0,0.0,7.0,0.0,45.0,45.0
25,2020-05-19,0.0,155.0,0.0,0.0,0.0,155.0,155.0
26,2020-06-10,0.0,63.0,0.0,37.0,0.0,100.0,100.0
26,2020-05-29,33.0,0.0,12.0,0.0,45.0,0.0,45.0
26,2020-05-31,30.0,0.0,1.0,0.0,31.0,0.0,31.0
26,2020-06-02,7.0,42.0,7.0,31.0,14.0,73.0,87.0
26,2020-06-03,0.0,163.0,0.0,17.0,0.0,180.0,180.0
26,2020-06-04,163.0,0.0,17.0,0.0,180.0,0.0,180.0
26,2020-06-06,49.0,41.0,1.0,12.0,50.0,53.0,103.0
26,2020-06-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-05-22,10.0,75.0,1.0,5.0,11.0,80.0,91.0
26,2020-05-26,5.0,52.0,1.0,11.0,6.0,63.0,69.0
26,2020-05-19,55.0,0.0,2.0,0.0,57.0,0.0,57.0
27,2020-06-07,50.0,43.0,3.0,9.0,53.0,52.0,105.0
27,2020-06-04,22.0,0.0,0.0,0.0,22.0,0.0,22.0
27,2020-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-05-29,31.0,38.0,1.0,9.0,32.0,47.0,79.0
27,2020-05-20,159.0,2.0,2.0,2.0,161.0,4.0,165.0
27,2020-06-09,44.0,45.0,15.0,14.0,59.0,59.0,118.0
27,2020-06-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-06-10,72.0,0.0,40.0,0.0,112.0,0.0,112.0
28,2020-06-09,0.0,55.0,0.0,0.0,0.0,55.0,55.0
28,2020-06-08,14.0,0.0,19.0,0.0,33.0,0.0,33.0
28,2020-06-07,0.0,33.0,0.0,1.0,0.0,34.0,34.0
28,2020-06-04,96.0,0.0,26.0,0.0,122.0,0.0,122.0
28,2020-06-05,25.0,0.0,15.0,0.0,40.0,0.0,40.0
28,2020-06-02,0.0,48.0,0.0,15.0,0.0,63.0,63.0
28,2020-06-01,44.0,0.0,6.0,0.0,50.0,0.0,50.0
28,2020-05-29,11.0,0.0,11.0,0.0,22.0,0.0,22.0
28,2020-05-28,0.0,155.0,0.0,4.0,0.0,159.0,159.0
28,2020-05-26,4.0,55.0,0.0,0.0,4.0,55.0,59.0
28,2020-06-03,189.0,37.0,131.0,2.0,320.0,39.0,359.0
29,2020-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2020-06-09,34.0,28.0,35.0,26.0,69.0,54.0,123.0
29,2020-06-04,126.0,73.0,85.0,111.0,211.0,184.0,395.0
29,2020-06-01,38.0,0.0,17.0,0.0,55.0,0.0,55.0
29,2020-05-31,60.0,55.0,21.0,21.0,81.0,76.0,157.0
29,2020-05-24,0.0,32.0,0.0,0.0,0.0,32.0,32.0
29,2020-05-19,51.0,0.0,1.0,0.0,52.0,0.0,52.0
29,2020-06-03,88.0,5.0,11.0,5.0,99.0,10.0,109.0
30,2020-05-20,310.0,0.0,0.0,0.0,310.0,0.0,310.0
30,2020-05-22,1.0,0.0,1.0,0.0,2.0,0.0,2.0
30,2020-05-26,33.0,22.0,5.0,53.0,38.0,75.0,113.0
30,2020-05-28,31.0,0.0,2.0,0.0,33.0,0.0,33.0
30,2020-05-29,102.0,25.0,17.0,6.0,119.0,31.0,150.0
30,2020-06-04,0.0,90.0,0.0,26.0,0.0,116.0,116.0
30,2020-06-08,0.0,46.0,0.0,18.0,0.0,64.0,64.0
30,2020-06-09,42.0,0.0,33.0,0.0,75.0,0.0,75.0
30,2020-06-02,94.0,86.0,28.0,23.0,122.0,109.0,231.0
31,2020-05-21,156.0,0.0,31.0,0.0,187.0,0.0,187.0
31,2020-05-25,15.0,0.0,5.0,0.0,20.0,0.0,20.0
31,2020-06-02,32.0,41.0,6.0,34.0,38.0,75.0,113.0
